timestamp,runId,lbCpuPercent,lbRssBytes,lbHeapUsedBytes,systemLoad1,freeMemBytes,totalMemBytes
1788020831692,ui_round-robin_burst_1788020829991,32.87,58155008,7056880,2.06,3923578880,16373002240
1788020833692,ui_round-robin_burst_1788020829991,22.93,58855424,7564648,2.06,3897286656,16373002240
1788020835692,ui_round-robin_burst_1788020829991,22.12,59777024,7721712,2.06,3851776000,16373002240
1788020837692,ui_round-robin_burst_1788020829991,8.95,59965440,7409936,2.14,3654328320,16373002240
1788020839693,ui_round-robin_burst_1788020829991,9.11,60100608,7212376,2.14,3572920320,16373002240
1788020841692,ui_round-robin_burst_1788020829991,64.98,67461120,9949248,2.85,3491328000,16373002240
1788020843693,ui_round-robin_burst_1788020829991,58.62,73363456,12891672,2.85,3409436672,16373002240
1788020845694,ui_round-robin_burst_1788020829991,64.82,74297344,11305952,2.85,3471474688,16373002240
1788020847693,ui_round-robin_burst_1788020829991,58.13,74383360,10747936,3.02,3460628480,16373002240
