timestamp,runId,lbCpuPercent,lbRssBytes,lbHeapUsedBytes,systemLoad1,freeMemBytes,totalMemBytes
1788021548561,ui_round-robin_burst_1788021548346,2.5,67330048,11442152,2.38,3582738432,16373002240
1788021550561,ui_round-robin_burst_1788021548346,6.46,66142208,9234616,2.38,3516542976,16373002240
1788021552561,ui_round-robin_burst_1788021548346,7.08,66437120,8311424,2.51,3549229056,16373002240
1788021554561,ui_round-robin_burst_1788021548346,9.19,66519040,10315000,2.51,3547987968,16373002240
1788021556561,ui_round-robin_burst_1788021548346,7.55,66465792,8983848,2.51,3615072256,16373002240
1788021558561,ui_round-robin_burst_1788021548346,13.17,67854336,8432256,2.55,3609276416,16373002240
