timestamp,runId,lbCpuPercent,lbRssBytes,lbHeapUsedBytes,systemLoad1,freeMemBytes,totalMemBytes
1788021013916,ui_round-robin_failure_1788021012331,29.78,65736704,11600880,1.91,3653292032,16373002240
1788021015915,ui_round-robin_failure_1788021012331,30.74,68997120,13234680,1.91,3509178368,16373002240
1788021017916,ui_round-robin_failure_1788021012331,31.13,69525504,11463536,2.64,3468021760,16373002240
1788021019915,ui_round-robin_failure_1788021012331,31.26,69918720,12950464,2.64,3355901952,16373002240
1788021021916,ui_round-robin_failure_1788021012331,31.35,69914624,14035624,2.83,3281223680,16373002240
1788021023916,ui_round-robin_failure_1788021012331,35.23,77254656,9872616,2.83,3252273152,16373002240
1788021025916,ui_round-robin_failure_1788021012331,31.35,77840384,14214256,2.83,3264339968,16373002240
1788021027916,ui_round-robin_failure_1788021012331,29.08,77524992,11638648,2.84,3277213696,16373002240
